Time,Poke1,Poke2,Line1,Line2,Line3,Line4,Cue1,Cue2,Cue3,Cue4
9.031,False,False,0,0,0,0,False,True,False,False
9.072,False,True,0,0,0,0,False,False,False,False
9.114,False,True,0,0,0,0,False,False,False,False
30.207,False,True,0,0,0,0,False,False,False,False
30.248,False,True,0,0,0,0,False,False,False,False
30.29,False,True,0,0,0,0,False,False,False,False
30.33,False,True,0,0,0,0,False,False,False,False
30.371,False,True,0,0,0,0,False,False,False,False
30.412,False,True,0,0,0,0,False,False,False,False
30.453,False,True,0,0,0,0,False,False,False,False
30.493,False,True,0,0,0,0,False,False,False,False
30.534,False,True,0,0,0,0,False,False,False,False
30.575,False,True,0,0,0,0,False,False,False,False
30.616,False,True,0,0,0,0,False,False,False,False
30.656,False,True,0,0,0,0,False,False,False,False
30.697,False,True,0,0,0,0,False,False,False,False
30.738,False,True,0,0,0,0,False,False,False,False
30.779,False,True,0,0,0,0,False,False,False,False
30.82,False,True,0,0,0,0,False,False,False,False
30.86,False,True,0,0,0,0,False,False,False,False
30.901,False,True,0,0,0,0,False,False,False,False
30.942,False,True,0,0,0,0,False,False,False,False
30.982,False,True,0,0,0,0,False,False,False,False
31.023,False,True,0,0,0,0,False,False,False,False
52.865,False,True,0,0,0,0,True,False,False,False
52.906,False,True,0,0,0,0,False,False,False,False
52.948,False,True,0,0,0,0,False,False,False,False
52.988,False,True,0,0,0,0,False,False,False,False
53.029,False,True,0,0,0,0,False,False,False,False
53.07,False,True,0,0,0,0,False,False,False,False
53.111,False,True,0,0,0,0,False,False,False,False
53.151,False,True,0,0,0,0,False,False,False,False
53.192,False,True,0,0,0,0,False,False,False,False
53.233,False,True,0,0,0,0,False,False,False,False
53.274,False,True,0,0,0,0,False,False,False,False
53.314,False,True,0,0,0,0,False,False,False,False
53.355,False,True,0,0,0,0,False,False,False,False
53.396,False,True,0,0,0,0,False,False,False,False
53.436,False,True,0,0,0,0,False,False,False,False
53.477,False,True,0,0,0,0,False,False,False,False
73.73,True,False,0,0,0,0,False,False,False,False
73.771,True,False,0,0,0,0,False,False,False,False
78.492,False,True,0,0,0,0,False,False,False,False
78.533,False,True,0,0,0,0,False,False,False,False
78.574,False,True,0,0,0,0,False,False,False,False
78.615,False,True,0,0,0,0,False,False,False,False
78.656,False,True,0,0,0,0,False,False,False,False
78.697,False,True,0,0,0,0,False,False,False,False
78.737,False,True,0,0,0,0,False,False,False,False
78.778,False,True,0,0,0,0,False,False,False,False
78.819,False,True,0,0,0,0,False,False,False,False
78.86,False,True,0,0,0,0,False,False,False,False
78.901,False,True,0,0,0,0,False,False,False,False
78.941,False,True,0,0,0,0,False,False,False,False
78.982,False,True,0,0,0,0,False,False,False,False
79.023,False,True,0,0,0,0,False,False,False,False
79.064,False,True,0,0,0,0,False,False,False,False
79.104,False,True,0,0,0,0,False,False,False,False
79.145,False,True,0,0,0,0,False,False,False,False
79.186,False,True,0,0,0,0,False,False,False,False
79.226,False,True,0,0,0,0,False,False,False,False
79.267,False,True,0,0,0,0,False,False,False,False
79.308,False,True,0,0,0,0,False,False,False,False
79.349,False,True,0,0,0,0,False,False,False,False
79.389,False,True,0,0,0,0,False,False,False,False
79.43,False,True,0,0,0,0,False,False,False,False
79.471,False,True,0,0,0,0,False,False,False,False
79.512,False,True,0,0,0,0,False,False,False,False
79.552,False,True,0,0,0,0,False,False,False,False
79.593,False,True,0,0,0,0,False,False,False,False
79.634,False,True,0,0,0,0,False,False,False,False
79.675,False,True,0,0,0,0,False,False,False,False
79.715,False,True,0,0,0,0,False,False,False,False
79.756,False,True,0,0,0,0,False,False,False,False
79.797,False,True,0,0,0,0,False,False,False,False
79.837,False,True,0,0,0,0,False,False,False,False
79.878,False,True,0,0,0,0,False,False,False,False
79.918,False,True,0,0,0,0,False,False,False,False
79.959,False,True,0,0,0,0,False,False,False,False
79.999,False,True,0,0,0,0,False,False,False,False
80.04,False,True,0,0,0,0,False,False,False,False
80.08,False,True,0,0,0,0,False,False,False,False
80.121,False,True,0,0,0,0,False,False,False,False
80.161,False,True,0,0,0,0,False,False,False,False
80.202,False,True,0,0,0,0,False,False,False,False
80.242,False,True,0,0,0,0,False,False,False,False
80.283,False,True,0,0,0,0,False,False,False,False
80.323,False,True,0,0,0,0,False,False,False,False
80.364,False,True,0,0,0,0,False,False,False,False
80.404,False,True,0,0,0,0,False,False,False,False
80.444,False,True,0,0,0,0,False,False,False,False
80.485,False,True,0,0,0,0,False,False,False,False
80.525,False,True,0,0,0,0,False,False,False,False
80.567,False,True,0,0,0,0,False,False,False,False
80.607,False,True,0,0,0,0,False,False,False,False
80.648,False,True,0,0,0,0,False,False,False,False
80.688,False,True,0,0,0,0,False,False,False,False
80.729,False,True,0,0,0,0,False,False,False,False
80.769,False,True,0,0,0,0,False,False,False,False
80.81,False,True,0,0,0,0,False,False,False,False
80.85,False,True,0,0,0,0,False,False,False,False
80.89,False,True,0,0,0,0,False,False,False,False
80.931,False,True,0,0,0,0,False,False,False,False
80.971,False,True,0,0,0,0,False,False,False,False
81.012,False,True,0,0,0,0,False,False,False,False
81.052,False,True,0,0,0,0,False,False,False,False
81.093,False,True,0,0,0,0,False,False,False,False
81.133,False,True,0,0,0,0,False,False,False,False
81.174,False,True,0,0,0,0,False,False,False,False
81.214,False,True,0,0,0,0,False,False,False,False
81.255,False,True,0,0,0,0,False,False,False,False
81.295,False,True,0,0,0,0,False,False,False,False
81.336,False,True,0,0,0,0,False,False,False,False
81.376,False,True,0,0,0,0,False,False,False,False
81.417,False,True,0,0,0,0,False,False,False,False
81.457,False,True,0,0,0,0,False,False,False,False
81.498,False,True,0,0,0,0,False,False,False,False
81.538,False,True,0,0,0,0,False,False,False,False
81.578,False,True,0,0,0,0,False,False,False,False
81.619,False,True,0,0,0,0,False,False,False,False
81.659,False,True,0,0,0,0,False,False,False,False
81.7,False,True,0,0,0,0,False,False,False,False
81.74,False,True,0,0,0,0,False,False,False,False
81.781,False,True,0,0,0,0,False,False,False,False
81.821,False,True,0,0,0,0,False,False,False,False
81.862,False,True,0,0,0,0,False,False,False,False
81.902,False,True,0,0,0,0,False,False,False,False
81.943,False,True,0,0,0,0,False,False,False,False
81.983,False,True,0,0,0,0,False,False,False,False
82.024,False,True,0,0,0,0,False,False,False,False
82.064,False,True,0,0,0,0,False,False,False,False
82.105,False,True,0,0,0,0,False,False,False,False
82.145,False,True,0,0,0,0,False,False,False,False
82.186,False,True,0,0,0,0,False,False,False,False
82.226,False,True,0,0,0,0,False,False,False,False
82.266,False,True,0,0,0,0,False,False,False,False
82.307,False,True,0,0,0,0,False,False,False,False
82.347,False,True,0,0,0,0,False,False,False,False
82.388,False,True,0,0,0,0,False,False,False,False
82.428,False,True,0,0,0,0,False,False,False,False
82.469,False,True,0,0,0,0,False,False,False,False
82.509,False,True,0,0,0,0,False,False,False,False
82.55,False,True,0,0,0,0,False,False,False,False
82.59,False,True,0,0,0,0,False,False,False,False
82.631,False,True,0,0,0,0,False,False,False,False
82.671,False,True,0,0,0,0,False,False,False,False
82.712,False,True,0,0,0,0,False,False,False,False
82.752,False,True,0,0,0,0,False,False,False,False
82.793,False,True,0,0,0,0,False,False,False,False
82.833,False,True,0,0,0,0,False,False,False,False
82.874,False,True,0,0,0,0,False,False,False,False
82.914,False,True,0,0,0,0,False,False,False,False
82.954,False,True,0,0,0,0,False,False,False,False
82.995,False,True,0,0,0,0,False,False,False,False
86.282,True,False,1,0,0,0,False,False,False,False
86.525,True,False,0,0,0,0,False,False,False,False
86.566,True,False,0,0,0,0,False,False,False,False
86.606,True,False,0,0,0,0,False,False,False,False
88.152,True,False,0,0,0,0,False,False,False,False
88.193,True,False,0,0,0,0,False,False,False,False
88.235,True,False,0,0,0,0,False,False,False,False
88.276,True,False,0,0,0,0,False,False,False,False
