Time,Poke1,Poke2,Line1,Line2,Line3,Line4,Cue1,Cue2,Cue3,Cue4
18.83,False,True,0,0,0,0,False,False,False,False
18.879,False,True,0,0,0,0,False,False,False,False
19.123,False,True,0,0,0,0,False,False,False,False
19.164,False,True,0,0,0,0,False,False,False,False
19.205,False,True,0,0,0,0,False,False,False,False
19.246,False,True,0,0,0,0,False,False,False,False
19.286,False,True,0,0,0,0,False,False,False,False
19.327,False,True,0,0,0,0,False,False,False,False
19.368,False,True,0,0,0,0,False,False,False,False
19.409,False,True,0,0,0,0,False,False,False,False
19.45,False,True,0,0,0,0,False,False,False,False
19.49,False,True,0,0,0,0,False,False,False,False
19.531,False,True,0,0,0,0,False,False,False,False
19.572,False,True,0,0,0,0,False,False,False,False
19.613,False,True,0,0,0,0,False,False,False,False
19.653,False,True,0,0,0,0,False,False,False,False
19.694,False,True,0,0,0,0,False,False,False,False
19.735,False,True,0,0,0,0,False,False,False,False
19.778,False,True,0,0,0,0,False,False,False,False
19.819,False,True,0,0,0,0,False,False,False,False
19.859,False,True,0,0,0,0,False,False,False,False
19.9,False,True,0,0,0,0,False,False,False,False
19.941,False,True,0,0,0,0,False,False,False,False
19.982,False,True,0,0,0,0,False,False,False,False
20.022,False,True,0,0,0,0,False,False,False,False
20.063,False,True,0,0,0,0,False,False,False,False
20.104,False,True,0,0,0,0,False,False,False,False
20.145,False,True,0,0,0,0,False,False,False,False
20.185,False,True,0,0,0,0,False,False,False,False
20.226,False,True,0,0,0,0,False,False,False,False
20.267,False,True,0,0,0,0,False,False,False,False
20.307,False,True,0,0,0,0,False,False,False,False
20.348,False,True,0,0,0,0,False,False,False,False
20.388,False,True,0,0,0,0,False,False,False,False
20.428,False,True,0,0,0,0,False,False,False,False
20.469,False,True,0,0,0,0,False,False,False,False
20.51,False,True,0,0,0,0,False,False,False,False
20.55,False,True,0,0,0,0,False,False,False,False
20.591,False,True,0,0,0,0,False,False,False,False
20.631,False,True,0,0,0,0,False,False,False,False
20.671,False,True,0,0,0,0,False,False,False,False
20.712,False,True,0,0,0,0,False,False,False,False
20.752,False,True,0,0,0,0,False,False,False,False
20.793,False,True,0,0,0,0,False,False,False,False
20.833,False,True,0,0,0,0,False,False,False,False
20.874,False,True,0,0,0,0,False,False,False,False
20.914,False,True,0,0,0,0,False,False,False,False
20.955,False,True,0,0,0,0,False,False,False,False
20.995,False,True,0,0,0,0,False,False,False,False
21.036,False,True,0,0,0,0,False,False,False,False
21.076,False,True,0,0,0,0,False,False,False,False
21.117,False,True,0,0,0,0,False,False,False,False
21.157,False,True,0,0,0,0,False,False,False,False
21.198,False,True,0,0,0,0,False,False,False,False
21.521,False,True,0,0,0,0,False,False,False,False
21.561,False,True,0,0,0,0,False,False,False,False
21.602,False,True,0,0,0,0,False,False,False,False
21.642,False,True,0,0,0,0,False,False,False,False
21.683,False,True,0,0,0,0,False,False,False,False
21.723,False,True,0,0,0,0,False,False,False,False
21.764,False,True,0,0,0,0,False,False,False,False
21.805,False,True,0,0,0,0,False,False,False,False
21.846,False,True,0,0,0,0,False,False,False,False
21.886,False,True,0,0,0,0,False,False,False,False
21.927,False,True,0,0,0,0,False,False,False,False
21.967,False,True,0,0,0,0,False,False,False,False
22.008,False,True,0,0,0,0,False,False,False,False
22.048,False,True,0,0,0,0,False,False,False,False
22.089,False,True,0,0,0,0,False,False,False,False
22.129,False,True,0,0,0,0,False,False,False,False
22.17,False,True,0,0,0,0,False,False,False,False
