Time,Poke1,Poke2,Line1,Line2,Line3,Line4,Cue1,Cue2,Cue3,Cue4
18.857,True,False,0,0,0,0,False,False,False,False
27.62,False,True,0,0,0,0,False,False,False,False
27.66,False,True,0,0,0,0,False,False,False,False
27.701,False,True,0,0,0,0,False,False,False,False
27.742,False,True,0,0,0,0,False,False,False,False
27.782,False,True,0,0,0,0,False,False,False,False
27.823,False,True,0,0,0,0,False,False,False,False
27.863,False,True,0,0,0,0,False,False,False,False
27.904,False,True,0,0,0,0,False,False,False,False
27.944,False,True,0,0,0,0,False,False,False,False
27.985,False,True,0,0,0,0,False,False,False,False
28.025,False,True,0,0,0,0,False,False,False,False
28.066,False,True,0,0,0,0,False,False,False,False
28.107,False,True,0,0,0,0,False,False,False,False
28.148,False,True,0,0,0,0,False,False,False,False
28.188,False,True,0,0,0,0,False,False,False,False
28.229,False,True,0,0,0,0,False,False,False,False
28.271,False,True,0,0,0,0,False,False,False,False
47.287,True,False,0,0,0,0,False,False,False,False
47.327,True,False,0,0,0,0,False,False,False,False
47.368,True,False,0,0,0,0,False,False,False,False
47.408,True,False,0,0,0,0,False,False,False,False
47.449,True,False,0,0,0,0,False,False,False,False
47.489,True,False,0,0,0,0,False,False,False,False
47.53,True,False,0,0,0,0,False,False,False,False
47.57,True,False,0,0,0,0,False,False,False,False
47.611,True,False,0,0,0,0,False,False,False,False
47.651,True,False,0,0,0,0,False,False,False,False
47.692,True,False,0,0,0,0,False,False,False,False
47.732,True,False,0,0,0,0,False,False,False,False
47.772,True,False,0,0,0,0,False,False,False,False
47.813,True,False,0,0,0,0,False,False,False,False
47.853,True,False,0,0,0,0,False,False,False,False
47.894,True,False,0,0,0,0,False,False,False,False
48.137,True,False,0,0,0,0,False,False,False,False
48.177,True,False,0,0,0,0,False,False,False,False
48.218,True,False,0,0,0,0,False,False,False,False
64.222,False,True,0,0,0,0,False,False,False,False
64.264,False,True,0,0,0,0,False,False,False,False
64.304,False,True,0,0,0,0,False,False,False,False
64.345,False,True,0,0,0,0,False,False,False,False
64.385,False,True,0,0,0,0,False,False,False,False
64.426,False,True,0,0,0,0,False,False,False,False
64.466,False,True,0,0,0,0,False,False,False,False
64.507,False,True,0,0,0,0,False,False,False,False
64.547,False,True,0,0,0,0,False,False,False,False
64.588,False,True,0,0,0,0,False,False,False,False
64.628,False,True,0,0,0,0,False,False,False,False
64.669,False,True,0,0,0,0,False,False,False,False
64.709,False,True,0,0,0,0,False,False,False,False
80.416,False,True,0,0,0,0,False,False,False,False
80.457,False,True,0,0,0,0,False,False,False,False
80.497,False,True,0,0,0,0,False,False,False,False
80.538,False,True,0,0,0,0,False,False,False,False
80.579,False,True,0,0,0,0,False,False,False,False
80.619,False,True,0,0,0,0,False,False,False,False
80.66,False,True,0,0,0,0,False,False,False,False
80.701,False,True,0,0,0,0,False,False,False,False
80.742,False,True,0,0,0,0,False,False,False,False
80.782,False,True,0,0,0,0,False,False,False,False
80.823,False,True,0,0,0,0,False,False,False,False
80.864,False,True,0,0,0,0,False,False,False,False
80.904,False,True,0,0,0,0,False,False,False,False
80.945,False,True,0,0,0,0,False,False,False,False
98.673,False,True,0,0,0,0,False,False,False,False
98.714,False,True,0,0,0,0,False,False,False,False
98.755,False,True,0,0,0,0,False,False,False,False
98.795,False,True,0,0,0,0,False,False,False,False
98.836,False,True,0,0,0,0,False,False,False,False
98.876,False,True,0,0,0,0,False,False,False,False
98.917,False,True,0,0,0,0,False,False,False,False
98.958,False,True,0,0,0,0,False,False,False,False
