Time,Poke1,Poke2,Line1,Line2,Line3,Line4,Cue1,Cue2,Cue3,Cue4
24.699,False,True,0,0,0,0,False,False,False,False
24.741,False,True,0,0,0,0,False,False,False,False
25.066,False,True,0,0,0,0,False,False,False,False
25.107,False,True,0,0,0,0,False,False,False,False
25.148,False,True,0,0,0,0,False,False,False,False
25.188,False,True,0,0,0,0,False,False,False,False
76.78,False,True,0,0,0,0,False,False,False,False
76.821,False,True,0,0,0,0,False,False,False,False
85.6,False,True,0,0,0,0,False,False,False,False
85.64,False,True,0,0,0,0,False,False,False,False
85.681,False,True,0,0,0,0,False,False,False,False
85.721,False,True,0,0,0,0,False,False,False,False
85.762,False,True,0,0,0,0,False,False,False,False
85.802,False,True,0,0,0,0,False,False,False,False
85.843,False,True,0,0,0,0,False,False,False,False
85.883,False,True,0,0,0,0,False,False,False,False
85.924,False,True,0,0,0,0,False,False,False,False
85.964,False,True,0,0,0,0,False,False,False,False
86.005,False,True,0,0,0,0,False,False,False,False
86.045,False,True,0,0,0,0,False,False,False,False
99.658,True,False,0,0,0,0,False,False,False,False
99.699,True,False,0,0,0,0,False,False,False,False
99.739,True,False,0,0,0,0,False,False,False,False
99.78,True,False,0,0,0,0,False,False,False,False
99.821,True,False,0,0,0,0,False,False,False,False
99.862,True,False,0,0,0,0,False,False,False,False
99.902,True,False,0,0,0,0,False,False,False,False
99.943,True,False,0,0,0,0,False,False,False,False
99.984,True,False,0,0,0,0,False,False,False,False
100.025,True,False,0,0,0,0,False,False,False,False
100.065,True,False,0,0,0,0,False,False,False,False
100.106,True,False,0,0,0,0,False,False,False,False
100.147,True,False,0,0,0,0,False,False,False,False
100.188,True,False,0,0,0,0,False,False,False,False
100.228,True,False,0,0,0,0,False,False,False,False
100.269,True,False,0,0,0,0,False,False,False,False
100.31,True,False,0,0,0,0,False,False,False,False
100.351,True,False,0,0,0,0,False,False,False,False
100.391,True,False,0,0,0,0,False,False,False,False
100.432,True,False,0,0,0,0,False,False,False,False
103.034,True,False,0,0,0,0,False,False,False,False
103.074,True,False,0,0,0,0,False,False,False,False
103.115,True,False,0,0,0,0,False,False,False,False
103.156,True,False,0,0,0,0,False,False,False,False
103.197,True,False,0,0,0,0,False,False,False,False
103.237,True,False,0,0,0,0,False,False,False,False
103.319,True,False,0,0,0,0,False,False,False,False
103.359,True,False,0,0,0,0,False,False,False,False
103.4,True,False,0,0,0,0,False,False,False,False
103.441,True,False,0,0,0,0,False,False,False,False
103.766,True,False,0,0,0,0,False,False,False,False
104.213,True,False,0,0,0,0,False,False,False,False
104.254,True,False,0,0,0,0,False,False,False,False
175.516,True,False,0,0,0,0,False,False,False,False
175.556,True,False,0,0,0,0,False,False,False,False
175.597,True,False,0,0,0,0,False,False,False,False
175.638,True,False,0,0,0,0,False,False,False,False
175.679,True,False,0,0,0,0,False,False,False,False
175.72,True,False,0,0,0,0,False,False,False,False
175.76,True,False,0,0,0,0,False,False,False,False
175.801,True,False,0,0,0,0,False,False,False,False
175.842,True,False,0,0,0,0,False,False,False,False
175.883,True,False,0,0,0,0,False,False,False,False
203.718,True,False,0,0,0,0,False,False,False,False
203.799,True,False,0,0,0,0,False,False,False,False
203.962,True,False,0,0,0,0,False,False,False,False
204.003,True,False,0,0,0,0,False,False,False,False
204.044,True,False,0,0,0,0,False,False,False,False
204.084,True,False,0,0,0,0,False,False,False,False
204.125,True,False,0,0,0,0,False,False,False,False
204.167,True,False,0,0,0,0,False,False,False,False
204.207,True,False,0,0,0,0,False,False,False,False
204.248,True,False,0,0,0,0,False,False,False,False
204.289,True,False,0,0,0,0,False,False,False,False
204.33,True,False,0,0,0,0,False,False,False,False
204.37,True,False,0,0,0,0,False,False,False,False
204.411,True,False,0,0,0,0,False,False,False,False
204.452,True,False,0,0,0,0,False,False,False,False
204.493,True,False,0,0,0,0,False,False,False,False
204.534,True,False,0,0,0,0,False,False,False,False
204.574,True,False,0,0,0,0,False,False,False,False
204.615,True,False,0,0,0,0,False,False,False,False
204.656,True,False,0,0,0,0,False,False,False,False
204.697,True,False,0,0,0,0,False,False,False,False
204.737,True,False,0,0,0,0,False,False,False,False
204.778,True,False,0,0,0,0,False,False,False,False
233.927,True,False,0,0,0,0,False,False,False,False
233.968,True,False,0,0,0,0,False,False,False,False
234.009,True,False,0,0,0,0,False,False,False,False
234.05,True,False,0,0,0,0,False,False,False,False
234.091,True,False,0,0,0,0,False,False,False,False
234.131,True,False,0,0,0,0,False,False,False,False
234.172,True,False,0,0,0,0,False,False,False,False
