Time,Poke1,Poke2,Line1,Line2,Line3,Line4,Cue1,Cue2,Cue3,Cue4
6.524,False,True,0,0,0,0,False,False,False,False
6.566,False,True,0,0,0,0,False,False,False,False
6.607,False,True,0,0,0,0,False,False,False,False
6.648,False,True,0,0,0,0,False,False,False,False
6.689,False,True,0,0,0,0,False,False,False,False
6.729,False,True,0,0,0,0,False,False,False,False
6.77,False,True,0,0,0,0,False,False,False,False
6.811,False,True,0,0,0,0,False,False,False,False
6.852,False,True,0,0,0,0,False,False,False,False
6.893,False,True,0,0,0,0,False,False,False,False
11.504,False,False,0,1,0,0,False,False,False,False
11.547,False,False,0,1,0,0,False,False,False,False
11.912,True,False,0,0,0,0,False,False,False,False
11.952,True,False,0,0,0,0,False,False,False,False
11.993,True,False,0,0,0,0,False,False,False,False
12.033,True,False,0,0,0,0,False,False,False,False
12.074,True,False,0,0,0,0,False,False,False,False
12.115,True,False,0,0,0,0,False,False,False,False
12.156,True,False,0,0,0,0,False,False,False,False
12.196,True,False,0,0,0,0,False,False,False,False
12.237,True,False,0,0,0,0,False,False,False,False
12.278,True,False,0,0,0,0,False,False,False,False
12.319,True,False,0,0,0,0,False,False,False,False
12.359,True,False,0,0,0,0,False,False,False,False
12.4,True,False,0,0,0,0,False,False,False,False
12.644,True,False,0,0,0,0,False,False,False,False
12.685,True,False,0,0,0,0,False,False,False,False
12.726,True,False,0,0,0,0,False,False,False,False
12.766,True,False,0,0,0,0,False,False,False,False
12.807,True,False,0,0,0,0,False,False,False,False
12.848,True,False,0,0,0,0,False,False,False,False
12.889,True,False,0,0,0,0,False,False,False,False
12.929,True,False,0,0,0,0,False,False,False,False
12.97,True,False,0,0,0,0,False,False,False,False
13.011,True,False,0,0,0,0,False,False,False,False
13.051,True,False,0,0,0,0,False,False,False,False
13.173,True,False,0,0,0,0,False,False,False,False
13.214,True,False,0,0,0,0,False,False,False,False
13.255,True,False,0,0,0,0,False,False,False,False
13.296,True,False,0,0,0,0,False,False,False,False
13.336,True,False,0,0,0,0,False,False,False,False
13.377,True,False,0,0,0,0,False,False,False,False
13.418,True,False,0,0,0,0,False,False,False,False
13.459,True,False,0,0,0,0,False,False,False,False
13.499,True,False,0,0,0,0,False,False,False,False
13.54,True,False,0,0,0,0,False,False,False,False
13.581,True,False,0,0,0,0,False,False,False,False
13.622,True,False,0,0,0,0,False,False,False,False
13.662,True,False,0,0,0,0,False,False,False,False
13.703,True,False,0,0,0,0,False,False,False,False
13.744,True,False,0,0,0,0,False,False,False,False
13.784,True,False,0,0,0,0,False,False,False,False
13.825,True,False,0,0,0,0,False,False,False,False
15.452,True,False,0,0,0,0,False,False,False,False
15.493,True,False,0,0,0,0,False,False,False,False
15.534,True,False,0,0,0,0,False,False,False,False
15.575,True,False,0,0,0,0,False,False,False,False
15.615,True,False,0,0,0,0,False,False,False,False
15.656,True,False,0,0,0,0,False,False,False,False
15.697,True,False,0,0,0,0,False,False,False,False
16.267,True,False,0,0,0,0,False,False,False,False
16.308,True,False,0,0,0,0,False,False,False,False
16.349,True,False,0,0,0,0,False,False,False,False
16.39,True,False,0,0,0,0,False,False,False,False
17.127,True,False,0,0,0,0,False,False,False,False
17.168,True,False,0,0,0,0,False,False,False,False
17.494,True,False,0,0,0,0,False,False,False,False
17.535,True,False,0,0,0,0,False,False,False,False
17.576,True,False,0,0,0,0,False,False,False,False
17.617,True,False,0,0,0,0,False,False,False,False
17.657,True,False,0,0,0,0,False,False,False,False
17.698,True,False,0,0,0,0,False,False,False,False
17.739,True,False,0,0,0,0,False,False,False,False
17.78,True,False,0,0,0,0,False,False,False,False
17.82,True,False,0,0,0,0,False,False,False,False
17.861,True,False,0,0,0,0,False,False,False,False
17.902,True,False,0,0,0,0,False,False,False,False
17.943,True,False,0,0,0,0,False,False,False,False
17.984,True,False,0,0,0,0,False,False,False,False
18.024,True,False,0,0,0,0,False,False,False,False
18.065,True,False,0,0,0,0,False,False,False,False
18.106,True,False,0,0,0,0,False,False,False,False
18.147,True,False,0,0,0,0,False,False,False,False
18.188,True,False,0,0,0,0,False,False,False,False
18.228,True,False,0,0,0,0,False,False,False,False
18.269,True,False,0,0,0,0,False,False,False,False
18.31,True,False,0,0,0,0,False,False,False,False
18.351,True,False,0,0,0,0,False,False,False,False
18.391,True,False,0,0,0,0,False,False,False,False
18.432,True,False,0,0,0,0,False,False,False,False
18.473,True,False,0,0,0,0,False,False,False,False
18.514,True,False,0,0,0,0,False,False,False,False
22.643,True,False,0,0,0,0,False,False,False,False
22.684,True,False,0,0,0,0,False,False,False,False
22.725,True,False,0,0,0,0,False,False,False,False
22.767,True,False,0,0,0,0,False,False,False,False
22.809,True,False,0,0,0,0,False,False,False,False
22.85,True,False,0,0,0,0,False,False,False,False
22.891,True,False,0,0,0,0,False,False,False,False
22.932,True,False,0,0,0,0,False,False,False,False
22.973,True,False,0,0,0,0,False,False,False,False
23.014,True,False,0,0,0,0,False,False,False,False
23.055,True,False,0,0,0,0,False,False,False,False
23.097,True,False,0,0,0,0,False,False,False,False
23.138,True,False,0,0,0,0,False,False,False,False
23.179,True,False,0,0,0,0,False,False,False,False
23.221,True,False,0,0,0,0,False,False,False,False
23.261,True,False,0,0,0,0,False,False,False,False
23.302,True,False,0,0,0,0,False,False,False,False
23.343,True,False,0,0,0,0,False,False,False,False
23.384,True,False,0,0,0,0,False,False,False,False
23.424,True,False,0,0,0,0,False,False,False,False
23.465,True,False,0,0,0,0,False,False,False,False
23.506,True,False,0,0,0,0,False,False,False,False
23.547,True,False,0,0,0,0,False,False,False,False
23.587,True,False,0,0,0,0,False,False,False,False
23.628,True,False,0,0,0,0,False,False,False,False
23.71,True,False,0,0,0,0,False,False,False,False
23.751,True,False,0,0,0,0,False,False,False,False
23.792,True,False,0,0,0,0,False,False,False,False
23.832,True,False,0,0,0,0,False,False,False,False
23.873,True,False,0,0,0,0,False,False,False,False
31.606,True,False,0,0,0,0,False,False,False,False
31.646,True,False,0,0,0,0,False,False,False,False
31.687,True,False,0,0,0,0,False,False,False,False
31.728,True,False,0,0,0,0,False,False,False,False
31.769,True,False,0,0,0,0,False,False,False,False
31.809,True,False,0,0,0,0,False,False,False,False
31.85,True,False,0,0,0,0,False,False,False,False
31.891,True,False,0,0,0,0,False,False,False,False
31.932,True,False,0,0,0,0,False,False,False,False
31.972,True,False,0,0,0,0,False,False,False,False
32.013,True,False,0,0,0,0,False,False,False,False
32.054,True,False,0,0,0,0,False,False,False,False
32.095,True,False,0,0,0,0,False,False,False,False
32.136,True,False,0,0,0,0,False,False,False,False
32.176,True,False,0,0,0,0,False,False,False,False
32.217,True,False,0,0,0,0,False,False,False,False
32.258,True,False,0,0,0,0,False,False,False,False
32.299,True,False,0,0,0,0,False,False,False,False
32.339,True,False,0,0,0,0,False,False,False,False
32.38,True,False,0,0,0,0,False,False,False,False
32.421,True,False,0,0,0,0,False,False,False,False
32.461,True,False,0,0,0,0,False,False,False,False
32.502,True,False,0,0,0,0,False,False,False,False
32.543,True,False,0,0,0,0,False,False,False,False
38.267,False,True,0,0,0,0,False,False,False,False
38.308,False,True,0,0,0,0,False,False,False,False
38.349,False,True,0,0,0,0,False,False,False,False
38.39,False,True,0,0,0,0,False,False,False,False
38.431,False,True,0,0,0,0,False,False,False,False
38.471,False,True,0,0,0,0,False,False,False,False
38.512,False,True,0,0,0,0,False,False,False,False
38.553,False,True,0,0,0,0,False,False,False,False
38.594,False,True,0,0,0,0,False,False,False,False
38.634,False,True,0,0,0,0,False,False,False,False
38.675,False,True,0,0,0,0,False,False,False,False
38.716,False,True,0,0,0,0,False,False,False,False
38.757,False,True,0,0,0,0,False,False,False,False
38.797,False,True,0,0,0,0,False,False,False,False
38.838,False,True,0,0,0,0,False,False,False,False
38.879,False,True,0,0,0,0,False,False,False,False
38.92,False,True,0,0,0,0,False,False,False,False
38.961,False,True,0,0,0,0,False,False,False,False
39.001,False,True,0,0,0,0,False,False,False,False
39.042,False,True,0,0,0,0,False,False,False,False
39.083,False,True,0,0,0,0,False,False,False,False
39.123,False,True,0,0,0,0,False,False,False,False
39.164,False,True,0,0,0,0,False,False,False,False
39.205,False,True,0,0,0,0,False,False,False,False
39.246,False,True,0,0,0,0,False,False,False,False
39.286,False,True,0,0,0,0,False,False,False,False
39.327,False,True,0,0,0,0,False,False,False,False
39.368,False,True,0,0,0,0,False,False,False,False
39.409,False,True,0,0,0,0,False,False,False,False
39.449,False,True,0,0,0,0,False,False,False,False
39.49,False,True,0,0,0,0,False,False,False,False
39.531,False,True,0,0,0,0,False,False,False,False
39.571,False,True,0,0,0,0,False,False,False,False
39.612,False,True,0,0,0,0,False,False,False,False
39.653,False,True,0,0,0,0,False,False,False,False
39.694,False,True,0,0,0,0,False,False,False,False
39.734,False,True,0,0,0,0,False,False,False,False
39.774,False,True,0,0,0,0,False,False,False,False
39.815,False,True,0,0,0,0,False,False,False,False
39.855,False,True,0,0,0,0,False,False,False,False
39.896,False,True,0,0,0,0,False,False,False,False
39.936,False,True,0,0,0,0,False,False,False,False
39.977,False,True,0,0,0,0,False,False,False,False
40.017,False,True,0,0,0,0,False,False,False,False
40.058,False,True,0,0,0,0,False,False,False,False
40.098,False,True,0,0,0,0,False,False,False,False
40.139,False,True,0,0,0,0,False,False,False,False
40.179,False,True,0,0,0,0,False,False,False,False
40.22,False,True,0,0,0,0,False,False,False,False
